"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:21:00,FALSE,NA,"1063013995261628416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Little_Viky",3989,TRUE,FALSE,NA,NA
"2","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:21:00,FALSE,NA,"1063013994137636864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robstinnett",3989,TRUE,FALSE,NA,NA
"3","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:20:55,FALSE,NA,"1063013974214553600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GramGordo",3989,TRUE,FALSE,NA,NA
"4","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:20:46,FALSE,NA,"1063013936134377472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","winsmusk",3989,TRUE,FALSE,NA,NA
"5","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:20:38,FALSE,NA,"1063013899220475906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ta2D_COLON",3989,TRUE,FALSE,NA,NA
"6","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:20:32,FALSE,NA,"1063013877611401216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_nickkkkk",3989,TRUE,FALSE,NA,NA
"7","RT @SharmaShradha: Lack of “TRANSPARENCY” around a case for which “lack of transparency” is cited as a major reason. Carefully worded words…",FALSE,0,NA,2018-11-15 10:20:12,FALSE,NA,"1063013793536634880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mnvishal05",37,TRUE,FALSE,NA,NA
"8","@srinivas6019 @UfterYou @flipkartsupport @Flipkart @timesofindia @ndtv @TimesNow @htTweets @the_hindu @IndiaToday… https://t.co/VQebKnT2P1",FALSE,0,"srinivas6019",2018-11-15 10:20:10,TRUE,"1062924563082690560","1063013782623019009","3310990454","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ghanshyammm",0,FALSE,FALSE,NA,NA
"9","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:20:02,FALSE,NA,"1063013751153180672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8m8lin8",3989,TRUE,FALSE,NA,NA
"10","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 10:19:51,FALSE,NA,"1063013705380638720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ssparklinggg",3989,TRUE,FALSE,NA,NA
